New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_Loud Music/Party
New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,QUEENS,1,D_Double Parked Blocking Vehicle
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_Illegal Conversion Of Residential Building/Space
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,QUEENS,1,D_Commercial Overnight Parking
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_Graffiti - Highway
Department of Transportation,Highway Condition,Highway,The condition has been inspected/investigated see customer notes for more information.,STATEN ISLAND,1,D_Neglected
New York City Police Department,Animal Abuse,Residential Building/House,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_Driver Complaint
New York City Police Department,Animal Abuse,Residential Building/House,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Sewer Backup (Use Comments) (SA)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Commercial Overnight Parking
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,QUEENS,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,QUEENS,1,D_Other (complaint details)
New York City Police Department,Animal Abuse,Residential Building/House,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_14 Derelict Vehicles
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_N/A
New York City Police Department,Homeless Encampment,Residential Building/House,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,MANHATTAN,1,D_Pothole
Department of Health and Mental Hygiene,Non-Residential Heat,Building (Non-Residential),The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint please make a new complaint.,MANHATTAN,-1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_Street Light Out
New York City Police Department,Drinking,Club/Bar/Restaurant,The Police Department responded to the complaint and took action to fix the condition.,QUEENS,1,D_PESTS
Department of Housing Preservation and Development,UNSANITARY CONDITION,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,MANHATTAN,3,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_E3 Dirty Sidewalk
Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint please make a new complaint.,MANHATTAN,2,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_Street Light Out
HRA Benefit Card Replacement,Benefit Card Replacement,NYC Street Address,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_Other Water Problem (Use Comments) (WZZ)
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS,1,D_Street Light Out
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Overcharge
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Sewer Odor (SA2)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Street Light Out
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Bare Hands in Contact w/ Food
Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,The Department of Health and Mental Hygiene has received and processed your complaint.  All restaurants and mobile food vendors are inspected annually.  Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,BROOKLYN,-1,D_Dirty Water (WE)
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,STATEN ISLAND,1,D_Truck Route Violation
New York City Police Department,Traffic,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Controller
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_Street Light Out
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Street,This request is not eligible for the program because the sidewalk is not affected by the tree or the damage is not severe enough to qualify for the pilot program.,QUEENS,1,D_Street Light Out
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department reviewed your complaint and provided additional information below.,BROOKLYN,1,D_Egress - Doors Locked/Blocked/Improper/No Secondary Means
Department of Parks and Recreation,Maintenance or Facility,Park,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,BROOKLYN,1,D_PUBLICSAFETY
Senior Citizen Rent Increase Exemption Unit,SCRIE,Senior Address,We have researched your claim.,BRONX,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_PUBLICSAFETY
Department of Parks and Recreation,Illegal Tree Damage,Street,The Department of Parks and Recreation inspected but the condition was not found.,MANHATTAN,3,D_Leak (Use Comments) (WA2)
Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,The Department of Health and Mental Hygiene has reviewed your Service Request. A warning letter has been sent to the responsible party notifying them to correct the condition.,QUEENS,1,D_14B Derelict Bicycle
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,Unspecified,1,D_Congestion/Gridlock
New York City Police Department,Traffic,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_14B Derelict Bicycle
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,BROOKLYN,1,D_Loud Music/Party
New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,MANHATTAN,1,D_E1 Improper Disposal
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_No Status Call
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,STATEN ISLAND,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,STATEN ISLAND,1,D_Toilet Facility
Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint please make a new complaint.,BROOKLYN,2,D_Structure - Outdoors
Department of Parks and Recreation,Maintenance or Facility,Park,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,BROOKLYN,1,D_Street Light Out
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Medicaid
HRA Benefit Card Replacement,Benefit Card Replacement,NYC Street Address,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_12 Dead Animals
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Hydrant Leaking (WC1)
HRA Benefit Card Replacement,Benefit Card Replacement,NYC Street Address,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_Blocked Hydrant
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN,1,D_Controller
New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Dead/Dying Tree
Department of Parks and Recreation,Dead Tree,Street,The Department of Parks and Recreation inspected but the condition was not found.,QUEENS,1,D_Dead/Dying Tree
Department of Parks and Recreation,Dead Tree,Street,The Department of Parks and Recreation inspected but the condition was not found.,QUEENS,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Line/Marking - Faded
Department of Transportation,Street Condition,Street,The Department of Transportation inspected the condition you reported. You can find additional information in the Notes to Customer field.,QUEENS,3,D_Dead/Dying Tree
Department of Parks and Recreation,Dead Tree,Street,The Department of Parks and Recreation inspected but the condition was not found.,QUEENS,1,D_Debris - Falling Or In Danger Of Falling
Department of Parks and Recreation,Dead Tree,Street,The Department of Parks and Recreation usually requires 5 days to review a request and determine the appropriate action. Please note your Service Request number for future reference.,QUEENS,-1,D_E3 Dirty Sidewalk
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,BROOKLYN,1,D_E3 Dirty Sidewalk
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_Graffiti
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_With License Plate
New York City Police Department,Derelict Vehicle,Street/Sidewalk,The Police Department reviewed your complaint and provided additional information below.,BROOKLYN,1,D_Dead/Dying Tree
Department of Parks and Recreation,Dead Tree,Street,The Department of Parks and Recreation inspected but the condition was not found.,QUEENS,1,D_Illegal Conversion Of Residential Building/Space
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,QUEENS,1,D_Blocked Hydrant
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department made an arrest in response to the complaint.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,BROOKLYN,1,D_Cigarette Sale to Minor
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_PUBLICSAFETY
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department reviewed your complaint and provided additional information below.,BRONX,1,D_Leak (Use Comments) (WA2)
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Posted Parking Sign Violation
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_12 Dead Animals
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_N/A
New York City Police Department,Urinating in Public,Residential Building/House,The Police Department responded and upon arrival those responsible for the condition were gone.,STATEN ISLAND,1,D_Car/Truck Horn
New York City Police Department,Noise - Vehicle,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_Bag/Wallet
Department of Information Technology and Telecommunications,Public Payphone Complaint,Street and Sidewalk,Both preliminary and follow-up inspections have found the phone to be broken. The company has been issued a violation.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and determined that police action was not necessary.,MANHATTAN,1,D_Leak (Use Comments) (WA2)
Department of Transportation,Street Condition,Street,The Department of Transportation inspected the condition you reported. You can find additional information in the Notes to Customer field.,QUEENS,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_12 Dead Animals
HRA Benefit Card Replacement,Benefit Card Replacement,NYC Street Address,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_Smoking Violation
Department of Health and Mental Hygiene,Smoking,Residential Building,The Department of Health and Mental Hygiene has received and processed your complaint.  The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation.  Inspection results are not published.,BROOKLYN,-1,D_Blocked Hydrant
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_Full Term Mobile Food Unit Permit
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_12 Dead Animals
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_1 or 2
Department of Health and Mental Hygiene,Food Poisoning,Other (Explain Below),The Department of Health and Mental Hygiene has contacted you and is acting on the information provided.,QUEENS,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_SLOW LEAK
Department of Housing Preservation and Development,WATER LEAK,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,BROOKLYN,3,D_WALL
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,BROOKLYN,3,D_Street Light Out
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Veh Signal Head
New York City Police Department,Noise - Vehicle,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_Noise Barking Dog (NR5)
HRA Benefit Card Replacement,Benefit Card Replacement,NYC Street Address,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_Noise: air condition/ventilation equipment (NV1)
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Pothole
New York City Police Department,Blocked Driveway,Street/Sidewalk,This complaint does not fall under the Police Department's jurisdiction.,MANHATTAN,1,D_Blocked Hydrant
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Controller
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department reviewed your complaint and provided additional information below.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_PUBLICSAFETY
Department of Transportation,Street Condition,Street,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department reviewed your complaint and provided additional information below.,BROOKLYN,1,D_Controller
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,BROOKLYN,1,D_Street Light Out
New York City Police Department,Drinking,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Leak (Use Comments) (WA2)
HRA Benefit Card Replacement,Benefit Card Replacement,NYC Street Address,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_Posted Parking Sign Violation
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,BROOKLYN,1,D_With License Plate
New York City Police Department,Derelict Vehicle,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_With License Plate
New York City Police Department,Derelict Vehicle,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,STATEN ISLAND,1,D_Driver Complaint
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_E3 Dirty Sidewalk
Department of Health and Mental Hygiene,Food Poisoning,Restaurant/Bar/Deli/Bakery,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,QUEENS,-1,D_Loud Talking
New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_Noise Barking Dog (NR5)
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS,1,D_Hydrant Leaking (WC1)
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Tortured
New York City Police Department,Animal Abuse,Residential Building/House,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_Ventilation
Department of Health and Mental Hygiene,Indoor Air Quality,3+ Family Apartment Building,The Department of Health and Mental Hygiene has reviewed your Service Request. A warning letter has been sent to the responsible party notifying them to correct the condition.,MANHATTAN,1,D_Illegal Conversion Of Residential Building/Space
New York City Police Department,Noise - Vehicle,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,MANHATTAN,1,D_Commercial Overnight Parking
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,QUEENS,1,D_Double Parked Blocking Vehicle
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Hydrant Defective (WC2)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN,1,D_Street Light Out
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_Commercial Overnight Parking
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_Street Light Out
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_Illegal Conversion Of Residential Building/Space
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BROOKLYN,1,D_14 Derelict Vehicles
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_LED Pedestrian Unit
Department of Parks and Recreation,Damaged Tree,Street,The Department of Parks and Recreation has corrected the condition.,BROOKLYN,1,D_14 Derelict Vehicles
Department of Transportation,Street Condition,Street,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,BROOKLYN,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,STATEN ISLAND,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_14 Derelict Vehicles
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Illegal Conversion Of Residential Building/Space
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_Illegal. Commercial Use In Resident Zone
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_E15 Illegal Postering
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_Car/Truck Music
New York City Police Department,Noise - Vehicle,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_Hydrant Leaking (WC1)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,BRONX,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Noise: air condition/ventilation equipment (NV1)
Department of Parks and Recreation,Damaged Tree,Street,The Department of Parks and Recreation inspected but the condition was not found.,QUEENS,1,D_2014 Alternate Side Parking Calendar - English
Department of Parks and Recreation,Damaged Tree,Street,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.,QUEENS,1,D_Possible Water Main Break (Use Comments) (WA1)
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Other
Economic Development Corporation,Noise - Helicopter,Above Address,The New York City Economic Development Corporation determined that the helicopter tour operator was operating within the limits of the New York City Helicopter Sightseeing Plan which establishes specific routing for tour flights.,MANHATTAN,2,D_Pothole
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_E3 Dirty Sidewalk
Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,The Department of Health and Mental Hygiene has investigated the complaint.  No violations were cited and no further action will be taken.,MANHATTAN,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,The Police Department responded to the complaint and took action to fix the condition.,MANHATTAN,1,D_Controller
Department of Health and Mental Hygiene,Smoking,Residential Building,The Department of Health and Mental Hygiene has received and processed your complaint.  The facility will receive an inspection from the Bureau of Food Safety and Community Sanitation.  Inspection results are not published.,BRONX,-1,D_Pothole
Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint please make a new complaint.,QUEENS,2,D_PUBLICSAFETY
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_SCRIE - Application for Seniors Not Enrolled - English
Economic Development Corporation,Noise - Helicopter,Above Address,The New York City Economic Development Corporation received your complaint. You did not provide enough information for the agency to be able to act on your request. In the future if you could provide a tail number or a basic description of the helicopter and whether it was hovering or not it would help in our review.,MANHATTAN,2,D_Defective Hardware
Department of Transportation,Street Condition,Street,The  Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists the Agency may issue the responsible party a summons and/or correct the condition.,MANHATTAN,1,D_Credit Card Stuck in Meter
Department of Transportation,Broken Muni Meter,Street,The Department of Transportation inspected the condition you reported. You can find additional information in the Notes to Customer field.,MANHATTAN,1,D_No Access
